year,agency_code,ach_score,eg_score,books,media_school,devices,device_access,act_per1000,bha_per1000,total_funds,total_ppe,he_pct,music_cat,theatre_cat,poverty,number_of_teachers,pct_met
2019,100326,70,84.6,12.79,2003,0.72,No,10.157,0,6373529,5885.07,0.279411763,Y,Y,NEITHER,84,88.2
2019,100332,63.6,78.3,23.41,2001,0.88,No,4.7022,28.213,3682782,5772.39,0.121951222,Y,N,NEITHER,46,14.3
2019,100334,71.8,75.8,13.94,2004,1.2,No,1.9822,1.982,6439376,6381.94,0.085714288,Y,Y,NEITHER,80,40
2019,100335,57.6,82.7,16.97,2004,1.43,No,18.6418,14.647,4034783,5372.55,0.13333334,Y,N,NEITHER,49,0
2019,100336,63.3,85.1,24.83,2001,1.35,No,0,0,3422733,6068.68,0.378378391,Y,N,NEITHER,38,37.5
2019,100338,48.6,67.9,17.65,2004,0.99,No,0,3.478,3774391,6564.16,0.086956523,Y,N,HIGH,55,15.4
2019,100339,73.1,87.9,20.85,2004,0.81,No,0,3.61,3429403,6190.26,0.238095239,Y,N,NEITHER,42,70
2019,100340,87,90.5,27.36,2000,0.65,No,5.0083,3.339,3669868,6126.66,0.351351351,Y,N,NEITHER,40,53.3
2019,100342,57.6,73.3,24.91,2004,1.18,No,18.2556,2.028,2985350,6055.48,0.083333336,Y,N,NEITHER,46,30
2019,100344,59.9,83.9,30.99,2001,0.97,No,3.9526,1.976,3071328,6069.82,0.212121218,Y,N,NEITHER,35,13.3
2019,100348,68.2,60.7,11.73,2005,1.38,No,5.7887,11.577,8194346,5929.34,0.144444451,Y,Y,NEITHER,101,16.7
2019,10A000,74.6,76.9,0,0,8.11,No,0,0,,,0.405405402,Y,N,LOW,50,14.3
2019,10B000,76.5,71.2,0,0,19.68,No,0,0,,,0.611111105,,,LOW,18,0
2019,110303,0,0,35.69,2004,0.54,Yes,112.9032,72.581,1784293,14389.47,0.200000003,,,HIGH,22,0
2019,110304,77.8,88.1,13.3,1998,0.74,Yes,17.5439,26.734,6563412,5483.22,0.422535211,Y,Y,NEITHER,82,8.3
2019,110306,63.2,79.5,24.04,2001,0.92,Yes,5.7361,28.681,3352857,6410.82,0.378378391,Y,N,NEITHER,42,12.5
2019,110308,56.2,69,50.23,2003,0.96,Yes,0,36.81,1341648,8230.98,0.25,Y,N,NEITHER,19,0
2019,110318,66.7,79.3,20.18,2005,0.76,Yes,0,59.113,1351341,6656.86,0.166666672,Y,N,NEITHER,18,12.5
2019,110320,62.8,71.1,24.6,2003,0.78,Yes,0,4.902,2951642,7234.42,0.344827592,Y,N,NEITHER,37,0
2019,110322,84.1,80.7,0,0,0.88,Yes,14.9254,0,1168259,4359.18,0.400000006,,,NEITHER,18,33.3
2019,110323,86.9,0,0,0,0.67,Yes,20,0,344917,6898.36,0,,,LOW,5,0
2019,110324,50.9,70.3,45.32,2002,1.54,Yes,0,26.066,2865033,6789.18,0.15384616,Y,N,HIGH,34,11.1
2019,110326,74.2,70.3,31.97,2006,0.91,Yes,7.0547,54.674,3354608,5916.42,0.333333343,Y,Y,LOW,41,0
2019,110332,62,78.3,43.6,2000,0.87,Yes,0,20.202,1963775,6612.04,0.263157904,Y,N,NEITHER,26,0
2019,110336,75.5,94.3,15.85,2003,0.64,Yes,6.8871,23.416,4923767,6782.05,0.540000022,Y,Y,NEITHER,58,77.8
2019,110338,61.5,67.7,13.53,2009,0.81,Yes,1.8727,43.071,3392111,6352.27,0.297297299,Y,N,NEITHER,42,25
2019,110340,63.2,83.2,10.99,2005,0.8,Yes,33.1244,8.953,7047018,6308.88,0.289156616,Y,N,NEITHER,90,47.1
