Time,GeoType,GeoID,GeoRank,Geography,Number,Percent
2012-16,Borough,4,1,Queens,334149,14.63
2012-16,Borough,5,1,Staten Island,60530,12.94
2012-16,Citywide,1,0,New York City,1689759,20.3
2011-15,UHF42,101,4,Kingsbridge - Riverdale,14059,15.91
2011-15,UHF42,102,4,Northeast Bronx,30305,15.31
2011-15,UHF42,103,4,Fordham - Bronx Pk,82470,33.1
2011-15,UHF42,104,4,Pelham - Throgs Neck,70757,23.24
2011-15,UHF42,105,4,Crotona -Tremont,87376,41.58
2011-15,UHF42,106,4,High Bridge - Morrisania,85490,40.17
2011-15,UHF42,107,4,Hunts Point - Mott Haven,59924,43.09
2011-15,UHF42,201,4,Greenpoint,34188,25.82
2011-15,UHF42,202,4,Downtown - Heights - Slope,38997,16.24
2011-15,UHF42,203,4,Bedford Stuyvesant - Crown Heights,89354,27.25
2011-15,UHF42,204,4,East New York,58202,31.06
2011-15,UHF42,205,4,Sunset Park,41214,31.97
2011-15,UHF42,206,4,Borough Park,92821,27.2
2011-15,UHF42,207,4,East Flatbush - Flatbush,54564,18.13
2011-15,UHF42,208,4,Canarsie - Flatlands,27775,13.48
2011-15,UHF42,209,4,Bensonhurst - Bay Ridge,33668,16.14
2011-15,UHF42,210,4,Coney Island - Sheepshead Bay,56608,20.24
2011-15,UHF42,211,4,Williamsburg - Bushwick,70013,31.7
2011-15,UHF42,301,4,Washington Heights,67893,25.57
2011-15,UHF42,302,4,Central Harlem - Morningside Heights,51123,30
2011-15,UHF42,303,4,East Harlem,36518,33.26
2011-15,UHF42,304,4,Upper West Side,24355,11.39
2011-15,UHF42,305,4,Upper East Side,14449,6.61
2011-15,UHF42,306,4,Chelsea - Clinton,18320,12.43
2011-15,UHF42,307,4,Gramercy Park - Murray Hill,11899,9.52
2011-15,UHF42,308,4,Greenwich Village - SoHo,7315,9.28
2011-15,UHF42,309,4,Union Square - Lower East Side,42963,22.8
2011-15,UHF42,310,4,Lower Manhattan,5944,10.66
2011-15,UHF42,401,4,Long Island City - Astoria,34694,16.78
2011-15,UHF42,402,4,West Queens,88169,19.1
2011-15,UHF42,403,4,Flushing - Clearview,39671,15.36
2011-15,UHF42,404,4,Bayside - Little Neck,7543,8.36
2011-15,UHF42,405,4,Ridgewood - Forest Hills,31807,12.69
2011-15,UHF42,406,4,Fresh Meadows,13688,13.75
2011-15,UHF42,407,4,Southwest Queens,42204,14.63
2011-15,UHF42,408,4,Jamaica,46735,15.53
2011-15,UHF42,409,4,Southeast Queens,19339,7.24
2011-15,UHF42,410,4,Rockaways,21801,19
2011-15,UHF42,501,4,Port Richmond,15104,22.73
2011-15,UHF42,502,4,Stapleton - St. George,21193,17.72
2011-15,UHF42,503,4,Willowbrook,7483,8.64
2011-15,UHF42,504,4,South Beach - Tottenville,14690,7.57
2011-15,Borough,1,1,Bronx,427574,30.7
2011-15,Borough,2,1,Brooklyn,597404,23.21
2011-15,Borough,3,1,Manhattan,283590,17.92
2011-15,Borough,4,1,Queens,343834,15.11
2011-15,Borough,5,1,Staten Island,58470,12.53
2011-15,Citywide,1,0,New York City,1710872,20.63
2010-14,UHF42,101,4,Kingsbridge - Riverdale,14110,16.07
2010-14,UHF42,102,4,Northeast Bronx,30249,15.38
2010-14,UHF42,103,4,Fordham - Bronx Pk,79822,32.91
2010-14,UHF42,104,4,Pelham - Throgs Neck,70738,23.21
2010-14,UHF42,105,4,Crotona -Tremont,84329,41.04
2010-14,UHF42,106,4,High Bridge - Morrisania,84219,39.74
2010-14,UHF42,107,4,Hunts Point - Mott Haven,59012,43.05
2010-14,UHF42,201,4,Greenpoint,34141,26.5
2010-14,UHF42,202,4,Downtown - Heights - Slope,38815,16.38
