Time,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2016,UHF42,104,4,Pelham - Throgs Neck,"6.3 (3.5,11.0)",,"6.3 (3.5,11.0)"
2016,UHF42,105,4,Crotona -Tremont,"8.4 (5.7,12.3)",,"8 (5.4,11.7)"
2016,UHF42,106,4,High Bridge - Morrisania,"8.4 (5.7,12.3)",,"8 (5.4,11.7)"
2016,UHF42,107,4,Hunts Point - Mott Haven,"8.4 (5.7,12.3)",,"8 (5.4,11.7)"
2016,UHF42,201,4,Greenpoint,-,,-
2016,UHF42,202,4,Downtown - Heights - Slope,"2.5* (1.2,5.4)",,"2.5* (0.9,6.3)"
2016,UHF42,203,4,Bedford Stuyvesant - Crown Heights,"5.7 (3.6,8.8)",,"5.5 (3.5,8.6)"
2016,UHF42,204,4,East New York,"5.1* (2.5,10.1)",,"5.2* (2.6,10.2)"
2016,UHF42,205,4,Sunset Park,"1.6* (0.4,5.5)",,"1.6* (0.4,5.8)"
2016,UHF42,206,4,Borough Park,"2.4* (1.0,5.6)",,"2.3* (0.9,5.5)"
2016,UHF42,207,4,East Flatbush - Flatbush,"1.4* (0.6,3.0)",,"1.6* (0.8,3.4)"
2016,UHF42,208,4,Canarsie - Flatlands,"9.6* (3.7,22.4)",,"7.9* (3.0,19.6)"
2016,UHF42,209,4,Bensonhurst - Bay Ridge,"4.4* (1.7,10.8)",,-
2016,UHF42,210,4,Coney Island - Sheepshead Bay,"3 (1.7,5.4)",,"3.5* (1.9,6.4)"
2016,UHF42,211,4,Williamsburg - Bushwick,"5.3 (3.1,8.9)",,"5 (2.9,8.4)"
2016,UHF42,301,4,Washington Heights,"4.5* (1.8,10.7)",,"3.8* (1.7,8.4)"
2016,UHF42,302,4,Central Harlem - Morningside Heights,"7.1* (3.5,14.0)",,"7.9* (3.4,17.3)"
2016,UHF42,303,4,East Harlem,-,,-
2016,UHF42,304,4,Upper West Side,-,,-
2016,UHF42,305,4,Upper East Side,"6.2* (3.2,11.6)",,"6.4* (3.2,12.3)"
2016,UHF42,306,4,Chelsea - Clinton,-,,-
2016,UHF42,307,4,Gramercy Park - Murray Hill,"6.2* (3.2,11.6)",,"6.4* (3.2,12.3)"
2016,UHF42,308,4,Greenwich Village - SoHo,-,,-
2016,UHF42,309,4,Union Square - Lower East Side,"1* (0.3,3.2)",,"1* (0.3,3.5)"
2016,UHF42,310,4,Lower Manhattan,"1* (0.3,3.2)",,"1* (0.3,3.5)"
2016,UHF42,401,4,Long Island City - Astoria,-,,-
2016,UHF42,402,4,West Queens,"4.7 (2.7,8.3)",,"5* (2.7,8.9)"
2016,UHF42,403,4,Flushing - Clearview,-,,-
2016,UHF42,404,4,Bayside - Little Neck,"6.2* (2.4,14.7)",,"6.4* (2.5,15.1)"
2016,UHF42,405,4,Ridgewood - Forest Hills,"4.9* (2.5,9.3)",,"4.9* (2.5,9.5)"
2016,UHF42,406,4,Fresh Meadows,"6.2* (2.4,14.7)",,"6.4* (2.5,15.1)"
2016,UHF42,407,4,Southwest Queens,"2.8* (1.1,7.0)",,"2.8* (1.0,7.0)"
